CYQ_008
Date:,2017/04/10
Time:,14:59:04
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
413,3872.741211,-661.509827,341.399872,3916.963135,-889.353882,387.224884,3874.068604,-1020.009644,489.832642,3843.825439,-1066.002075,488.505737,3647.333252,-798.526062,937.374451
414,3860.622559,-623.690063,347.494202,3911.271484,-850.286377,386.575012,3874.663330,-986.170593,485.611572,3846.007813,-1033.049927,482.981598,3643.815430,-781.509583,937.681091
415,3844.821777,-577.019592,356.532806,3903.542969,-801.765564,385.951965,3875.010254,-943.919434,479.493866,3848.160156,-991.636475,474.975403,3639.038086,-759.912048,938.464966
416,3825.750000,-523.913025,368.699524,3893.801025,-746.054565,385.418549,3874.795166,-895.019348,471.294098,3849.833496,-943.369446,464.302399,3633.007324,-734.484619,939.891418
417,3804.062744,-467.161652,383.851715,3882.172363,-685.733521,384.989960,3873.637695,-841.454895,460.936890,3850.541992,-890.104004,450.959229,3625.781982,-706.143005,942.082336
418,3780.518066,-409.295471,401.546875,3868.831787,-623.072632,384.645721,3871.154053,-784.935974,448.468994,3849.834961,-833.458801,435.097443,3617.439697,-675.729248,945.097656
419,3755.884033,-352.270508,421.118744,3853.976563,-559.764954,384.348389,3867.018555,-726.697021,434.052765,3847.339600,-774.611877,416.988037,3608.060059,-643.906433,948.929932
420,3730.889404,-297.383087,441.783905,3837.825684,-496.895111,384.041321,3861.009277,-667.471802,417.936127,3842.791504,-714.277039,396.998566,3597.722168,-611.143616,953.506592
421,3706.185791,-245.315857,462.740753,3820.626221,-435.029572,383.629486,3853.031250,-607.565369,400.418518,3836.050049,-652.781311,375.569824,3586.509521,-577.750305,958.703552
422,3682.314209,-196.251724,483.238586,3802.643555,-374.344757,382.971558,3843.127441,-546.975342,381.822937,3827.105713,-590.182800,353.176300,3574.520020,-543.928284,964.363037
423,3659.683105,-150.017838,502.623840,3784.139893,-314.755615,381.901550,3831.469482,-485.522614,362.471863,3816.070068,-526.391296,330.280090,3561.875488,-509.817444,970.306152
424,3638.561523,-106.233604,520.369446,3765.351563,-256.033112,380.266296,3818.313721,-422.963226,342.666962,3803.149170,-461.271271,307.299042,3548.728760,-475.528412,976.340210
425,3619.078125,-64.442360,536.087769,3746.476563,-197.903351,377.955292,3803.941650,-359.072662,322.676788,3788.602295,-394.717133,284.592468,3535.262451,-441.158386,982.265381
426,3601.239014,-24.215160,549.520142,3727.669678,-140.122665,374.912231,3788.604248,-293.706818,302.731781,3772.697266,-326.695618,262.447510,3521.672363,-406.791931,987.885193
427,3584.959473,14.783195,560.501221,3709.040527,-82.527924,371.130798,3772.486084,-226.844055,283.024445,3755.669189,-257.263428,241.064301,3508.148193,-372.495605,993.020874
428,3570.109863,52.780342,568.930603,3690.657227,-25.067911,366.644348,3755.692383,-158.613693,263.714447,3737.697754,-186.579315,220.557205,3494.850586,-338.315399,997.525024
429,3556.549072,89.921539,574.771729,3672.555176,32.181240,361.513977,3738.259033,-89.315102,244.938431,3718.906494,-114.921089,200.977142,3481.889893,-304.278656,1001.288208
430,3544.144287,126.288033,578.041321,3654.751221,89.013481,355.816833,3720.183105,-19.428036,226.821869,3699.381836,-42.709045,182.345978,3469.310059,-270.397949,1004.239380
431,3532.767090,161.905228,578.792725,3637.255615,145.099289,349.634979,3701.464111,50.385937,209.487961,3679.197510,29.467197,164.689102,3457.087158,-236.675934,1006.343262
432,3522.279541,196.773590,577.129272,3620.083252,200.001907,343.045441,3682.146973,119.291679,193.057281,3658.441406,100.827095,148.052811,3445.145020,-203.109161,1007.595337
433,3512.520020,230.913544,573.233643,3603.266602,253.207550,336.110077,3662.354492,186.301376,177.633743,3637.241699,170.393829,132.501312,3433.375977,-169.689377,1008.009949
434,3503.294434,264.396057,567.380981,3586.864746,304.168213,328.862396,3642.303955,250.319305,163.278015,3615.798828,237.017349,118.094696,3421.664307,-136.404434,1007.604370
435,3494.371826,297.348450,559.932556,3570.964600,352.352997,321.291199,3622.309326,310.224976,149.979080,3594.419434,299.446136,104.851433,3409.909912,-103.239731,1006.384705
436,3485.488281,329.931458,551.305542,3555.673584,397.305054,313.330017,3602.769043,364.995972,137.642181,3573.519287,356.461914,92.713440,3398.044678,-70.178947,1004.331970
437,3476.372559,362.292206,541.919739,3541.109375,438.696228,304.862915,3584.138184,413.847809,126.110054,3553.598145,407.053802,81.542229,3386.039307,-37.206295,1001.394043
438,3466.781494,394.514862,532.131775,3527.383789,476.368896,295.755310,3566.883545,456.350311,115.222084,3535.188965,450.578583,71.166130,3373.898682,-4.311994,997.489380
439,3456.537598,426.599335,522.177002,3514.579102,510.359619,285.909393,3551.429932,492.485138,104.898453,3518.795410,486.858551,61.476074,3361.653809,28.501137,992.527771
440,3445.545166,458.484955,512.151184,3502.724609,540.901489,275.331818,3538.114014,522.630737,95.221153,3504.821533,516.189209,52.532635,3349.348877,61.213203,986.442383
441,3433.770264,490.109558,502.053802,3491.782715,568.400635,264.195679,3527.157959,547.479370,86.473534,3493.526611,539.253479,44.623299,3337.025879,93.787430,979.224182
442,3421.193359,521.470276,491.886963,3481.651855,593.380798,252.874847,3518.655762,567.894897,79.098907,3485.004150,556.974915,38.215584,3324.710938,126.174026,970.950073
443,3407.770996,552.645935,481.760529,3472.184326,616.392578,241.920151,3512.546143,584.728455,73.551346,3479.155762,570.360474,33.785164,3312.407715,158.312790,961.801880
444,3393.455566,583.750977,471.929047,3463.211182,637.892761,231.950104,3508.575928,598.632935,70.081955,3475.651611,580.358643,31.572859,3300.098145,190.133163,952.068726
445,3378.281006,614.820068,462.701782,3454.579346,658.122375,223.454712,3506.287598,609.969238,68.605385,3473.937256,587.747925,31.424196,3287.747559,221.558197,942.128052
446,3362.499023,645.671326,454.231781,3446.217285,677.046692,216.580933,3505.097412,618.883118,68.741638,3473.349609,593.097351,32.833622,3275.316162,252.522781,932.402283
447,3346.668457,675.857239,446.312897,3438.195801,694.417358,211.054565,3504.462158,625.489014,69.959488,3473.294922,596.815552,35.136116,3262.768555,283.008820,923.293884
448,3331.521973,704.795654,438.382782,3430.708740,709.933533,206.336685,3504.011963,629.996826,71.718872,3473.368652,599.224854,37.705109,3250.082764,313.076630,915.115540
449,3317.635986,731.999084,429.780090,3423.956055,723.402283,201.891678,3503.556885,632.723206,73.579323,3473.357178,600.603394,40.079247,3237.249268,342.859711,908.050659
450,3305.194824,757.206970,420.056427,3418.030518,734.815369,197.361954,3503.014648,634.045593,75.259804,3473.171143,601.199585,42.005653,3224.262451,372.522583,902.161560
451,3294.051270,780.352051,409.122253,3412.895264,744.336853,192.596573,3502.352783,634.349365,76.640427,3472.791016,601.235046,43.415775,3211.101074,402.218323,897.428650
452,3283.948486,801.458008,397.200928,3408.432617,752.232239,187.605499,3501.571289,633.981506,77.724503,3472.239258,600.898621,44.367188,3197.710205,432.067963,893.792419
453,3274.705811,820.562378,384.699463,3404.514404,758.789490,182.502029,3500.691650,633.224609,78.598335,3471.564209,600.338745,44.992428,3184.004395,462.156128,891.177856
454,3266.277832,837.694214,372.086884,3401.045654,764.269653,177.464737,3499.743408,632.300110,79.412170,3470.822754,599.668091,45.478992,3169.882813,492.536346,889.503052
455,3258.705078,852.899719,359.827179,3397.970215,768.897522,172.727066,3498.750977,631.392639,80.377052,3470.064697,598.981323,46.072651,3155.248291,523.238525,888.687012
456,3252.016602,866.282227,348.375763,3395.249512,772.876465,168.577515,3497.721924,630.678528,81.764206,3469.318115,598.379089,47.083992,3140.015869,554.273315,888.657410
457,3246.153809,878.020020,338.204315,3392.820801,776.414551,165.349823,3496.626221,630.352112,83.902184,3468.574463,597.990845,48.888607,3124.119385,585.640808,889.347900
458,3240.939697,888.366333,329.807007,3390.557861,779.755493,163.401688,3495.375000,630.650574,87.167542,3467.772949,597.995911,51.917690,3107.511719,617.344055,890.691528
459,3236.069092,897.654480,323.671326,3388.251709,783.201904,163.086365,3493.802246,631.872620,91.958801,3466.787109,598.641663,56.631668,3090.165771,649.396606,892.620850
460,3231.114746,906.304199,320.219940,3385.613281,787.120728,164.711929,3491.656738,634.384277,98.648033,3465.414551,600.251160,63.471825,3072.077881,681.819519,895.072205
461,3225.562988,914.811890,319.734589,3382.292725,791.924622,168.486725,3488.601074,638.601807,107.519516,3463.373047,603.214111,72.798378,3053.270020,714.631287,897.990845
462,3218.874268,923.720154,322.279510,3377.900635,798.041199,174.466385,3484.223877,644.955994,118.715866,3460.299316,607.959778,84.833557,3033.789795,747.835754,901.335327
463,3210.542480,933.584473,327.650879,3372.031738,805.881165,182.524109,3478.060303,653.845215,132.206909,3455.754150,614.917419,99.625137,3013.714844,781.412659,905.080444
464,3200.136475,944.954529,335.367676,3364.285645,815.811279,192.354797,3469.632324,665.588989,147.787094,3449.241211,624.473755,117.035324,2993.159180,815.310181,909.214844
465,3187.326904,958.370422,344.703156,3354.290283,828.131531,203.510895,3458.500977,680.391724,165.102066,3440.239746,636.937561,136.754257,2972.276611,849.443787,913.730042
466,3171.900879,974.356628,354.752716,3341.724609,843.060364,215.464417,3444.317383,698.329041,183.700699,3428.256836,652.519226,158.334503,2951.253906,883.702576,918.598633
467,3153.757568,993.402222,364.531891,3326.332275,860.733093,227.682938,3426.859863,719.360352,203.102890,3412.889648,671.324646,181.239151,2930.291016,917.962280,923.749329
468,3132.879395,1015.928589,373.086639,3307.924072,881.220520,239.699799,3406.041260,743.359558,222.864517,3393.889893,693.357971,204.895935,2909.572266,952.095459,929.052185
469,3109.280273,1042.252930,379.596710,3286.364258,904.566162,251.161606,3381.883789,770.157715,242.621002,3371.187744,718.538025,228.754089,2889.234131,985.976807,934.322266
470,3082.959961,1072.552979,383.464844,3261.549561,930.832092,261.848114,3354.458984,799.590027,262.110413,3344.833252,746.735046,252.339691,2869.336182,1019.483826,939.338623
471,3053.885254,1106.842773,384.385193,3233.394043,960.132141,271.669739,3323.788086,831.541321,281.188934,3314.850342,777.825623,275.295349,2849.855469,1052.499634,943.868469
472,3021.990967,1144.971680,382.376831,3201.826416,992.632446,280.651886,3289.745117,865.986816,299.830719,3281.092285,811.750488,297.388123,2830.706055,1084.921997,947.693787
473,2987.190918,1186.650269,377.778870,3166.804199,1028.513794,288.909973,3252.055176,903.012878,318.091339,3243.257080,848.543274,318.481628,2811.777344,1116.677002,950.638306
474,2949.391602,1231.494995,371.222046,3128.336182,1067.914673,296.616455,3210.456055,942.788147,336.033691,3201.112793,888.303040,338.483948,2792.980469,1147.726807,952.591064
475,2908.514160,1279.070679,363.593445,3086.498535,1110.883545,303.974213,3164.948730,985.498230,353.644836,3154.805176,931.131714,357.299744,2774.287109,1178.062866,953.528015
476,2864.519287,1328.911865,356.000000,3041.447998,1157.353638,311.201721,3115.971680,1031.290161,370.784210,3105.032227,977.086609,374.819214,2755.749512,1207.688965,953.535645
477,2817.443848,1380.523315,349.729645,2993.430420,1207.132568,318.522064,3064.410400,1080.240967,387.188721,3052.990723,1026.162231,390.937653,2737.487061,1236.605469,952.831970
478,2767.451904,1433.369385,346.195953,2942.784424,1259.890747,326.163757,3011.460205,1132.318115,402.521637,3000.151367,1078.268555,405.561371,2719.644531,1264.803101,951.772827
479,2714.885254,1486.864990,346.841522,2889.942383,1315.147583,334.380066,2958.420410,1187.313843,416.434753,2947.985840,1133.178223,418.583191,2702.319336,1292.270874,950.826294
480,2660.297363,1540.370850,352.992615,2835.425049,1372.265869,343.469116,2906.468018,1244.778931,428.621735,2897.709961,1190.463501,429.846039,2685.497803,1319.008667,950.506042
481,2604.458252,1593.199097,365.688782,2779.830322,1430.467896,353.772186,2856.449707,1304.002686,438.856354,2850.068359,1249.472656,439.125854,2669.043701,1345.033691,951.278625
482,2548.328613,1644.634766,385.526764,2723.817871,1488.883423,365.648438,2808.736816,1364.064453,447.024017,2805.196289,1309.374268,446.167206,2652.736572,1370.379395,953.499573
483,2492.994385,1693.977417,412.554230,2668.073242,1546.626343,379.434570,2763.191406,1423.943115,453.160889,2762.611816,1369.252075,450.780121,2636.312744,1395.089355,957.426880
484,2439.558105,1740.599976,446.242889,2613.248047,1602.886963,395.395020,2719.255127,1482.641968,457.493652,2721.357178,1428.213257,452.962860,2619.488281,1419.203491,963.279602
