CYQ_007
Date:,2017/04/10
Time:,14:58:54
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,3204.333008,-303.123199,439.278442,3405.389893,-286.522552,289.590057,3543.595459,-345.020508,267.229248,3567.788330,-389.389465,245.326035,3228.616211,-527.522339,1048.808105
2,3191.683594,-304.869293,439.595032,3392.315674,-286.701538,290.046936,3533.176270,-340.330475,269.601898,3558.922119,-384.367126,249.183228,3224.784180,-527.638306,1050.062622
3,3175.916504,-307.251434,440.076508,3375.759766,-286.907318,290.430450,3519.678955,-334.433838,271.912964,3547.309082,-377.982452,253.271210,3220.018066,-527.751343,1051.513550
4,3157.734619,-310.269440,440.737488,3356.351318,-287.115601,290.648438,3503.483154,-327.607483,273.732635,3533.194824,-370.516846,257.014221,3214.536621,-527.844055,1053.025879
5,3137.950928,-313.889923,441.577423,3334.876953,-287.290588,290.635803,3485.137695,-320.215485,274.669159,3516.962891,-362.367645,259.835052,3208.593506,-527.903442,1054.446045
6,3117.296631,-318.050781,442.586151,3312.084473,-287.390686,290.359924,3465.215576,-312.631317,274.443207,3499.024658,-353.962311,261.259979,3202.418213,-527.923584,1055.625732
7,3096.347900,-322.647491,443.749054,3288.578613,-287.379761,289.812378,3444.223877,-305.183990,272.909515,3479.754395,-345.687927,260.965424,3196.188477,-527.904541,1056.433228
8,3075.517090,-327.528656,445.047577,3264.790527,-287.235077,288.999115,3422.557617,-298.126038,270.041107,3459.456055,-337.840027,258.781250,3190.027344,-527.851563,1056.758057
9,3055.082275,-332.528656,446.456787,3240.996582,-286.944427,287.933197,3400.486572,-291.620056,265.895477,3438.354248,-330.595825,254.667526,3184.007568,-527.775452,1056.511597
10,3035.228760,-337.507202,447.943298,3217.354492,-286.498901,286.628632,3378.167725,-285.738770,260.577423,3416.593994,-324.014191,248.683426,3178.163330,-527.694031,1055.624634
11,3016.071533,-342.354584,449.464417,3193.937988,-285.888397,285.094421,3355.669434,-280.475769,254.210403,3394.251709,-318.057678,240.959732,3172.499268,-527.630310,1054.045166
12,2997.665771,-346.978363,450.968292,3170.765381,-285.100647,283.328552,3332.998535,-275.764069,246.919373,3371.351318,-312.624878,231.678650,3167.001221,-527.609619,1051.736694
13,2980.020996,-351.301361,452.397614,3147.819336,-284.121460,281.314056,3310.127686,-271.496735,238.824875,3347.883301,-307.580963,221.060379,3161.643799,-527.656189,1048.678833
14,2963.119629,-355.264282,453.696655,3125.061768,-282.935150,279.019989,3287.017578,-267.544006,230.044296,3323.827393,-302.780640,209.353867,3156.395752,-527.791077,1044.865967
15,2946.924805,-358.817902,454.817108,3102.444336,-281.523865,276.412079,3263.634033,-263.764648,220.696671,3299.173340,-298.082520,196.828857,3151.222168,-528.030396,1040.303467
16,2931.377197,-361.909271,455.719604,3079.928955,-279.863068,273.478394,3239.960693,-260.014130,210.908875,3273.938721,-293.357147,183.768661,3146.084473,-528.384033,1035.003052
17,2916.396484,-364.478088,456.374725,3057.514160,-277.922424,270.255157,3216.007324,-256.154327,200.821640,3248.181641,-288.493958,170.462845,3140.943604,-528.854980,1028.981201
18,2901.892822,-366.465973,456.767578,3035.246094,-275.679504,266.831726,3191.811768,-252.069885,190.592682,3222.002441,-283.414307,157.198715,3135.760742,-529.438721,1022.259949
19,2887.779297,-367.826599,456.903259,3013.208740,-273.132874,263.332214,3167.441895,-247.690079,180.393127,3195.537354,-278.088989,144.248260,3130.501465,-530.120667,1014.868835
20,2873.981445,-368.530060,456.808563,2991.500732,-270.300995,259.885345,3142.999268,-243.008560,170.394745,3168.949463,-272.549591,131.846893,3125.139648,-530.873413,1006.847290
21,2860.442139,-368.563385,456.526672,2970.212891,-267.216003,256.592255,3118.622559,-238.092224,160.749954,3142.420410,-266.887451,120.168312,3119.657715,-531.655701,998.245667
22,2847.120117,-367.928101,456.104980,2949.422852,-263.920563,253.507675,3094.481689,-233.072006,151.571716,3116.140381,-261.241699,109.307655,3114.040527,-532.414734,989.125366
23,2833.988525,-366.637115,455.582153,2929.200195,-260.463257,250.639450,3070.763672,-228.114716,142.921326,3090.297607,-255.777435,99.283211,3108.271973,-533.091003,979.559204
24,2821.031006,-364.710938,454.979340,2909.614746,-256.889587,247.958023,3047.654541,-223.384857,134.809311,3065.072998,-250.655228,90.057106,3102.330811,-533.624573,969.629456
25,2808.237061,-362.173401,454.294189,2890.735352,-253.232880,245.408737,3025.323242,-219.008301,127.209885,3040.640869,-245.999847,81.566635,3096.191650,-533.960632,959.423340
26,2795.599854,-359.048615,453.498199,2872.632080,-249.509933,242.924301,3003.916748,-215.045609,120.084641,3017.173584,-241.877502,73.755760,3089.826416,-534.051941,949.026978
27,2783.115234,-355.359436,452.539520,2855.375000,-245.718338,240.435898,2983.560547,-211.479111,113.409531,2994.854492,-238.284988,66.602158,3083.205078,-533.858765,938.520752
28,2770.781494,-351.127502,451.349915,2839.034912,-241.836151,237.883026,2964.373291,-208.212555,107.199005,2973.893066,-235.150208,60.138508,3076.298584,-533.346863,927.976990
29,2758.595215,-346.375427,449.854401,2823.683838,-237.827744,235.223221,2946.487793,-205.082367,101.520340,2954.539551,-232.343964,54.462963,3069.081055,-532.484558,917.458313
30,2746.547363,-341.129456,447.980713,2809.395508,-233.655304,232.441574,2930.070068,-201.883224,96.489258,2937.086914,-229.701416,49.729141,3061.534424,-531.239868,907.016296
31,2734.619141,-335.420013,445.667480,2796.249023,-229.289597,229.557388,2915.329834,-198.411499,92.235954,2921.851074,-227.053146,46.100159,3053.650635,-529.579834,896.692810
32,2722.781006,-329.281525,442.870483,2784.328857,-224.718292,226.620148,2902.503906,-194.526276,88.841377,2909.111328,-224.267532,43.665192,3045.434082,-527.474060,886.522461
33,2711.001465,-322.749939,439.566193,2773.714600,-219.955414,223.686768,2891.804932,-190.214355,86.281403,2899.021729,-221.299469,42.364529,3036.898682,-524.899658,876.536133
34,2699.265869,-315.858063,435.752197,2764.440186,-215.050644,220.783737,2883.341553,-185.628128,84.431511,2891.534912,-218.224579,41.988949,3028.068848,-521.845703,866.765808
35,2687.597900,-308.634033,431.449554,2756.444336,-210.090561,217.882736,2877.060303,-181.066788,83.131165,2886.382568,-215.234146,42.256256,3018.981934,-518.316650,857.252136
36,2676.056885,-301.111206,426.715332,2749.552979,-205.189133,214.920792,2872.736572,-176.901672,82.252380,2883.124756,-212.584015,42.901222,3009.687744,-514.334900,848.050720
37,2664.713135,-293.345795,421.657745,2743.511475,-200.473251,211.855804,2870.016846,-173.474854,81.727058,2881.243164,-210.515045,43.725250,3000.247803,-509.939758,839.238220
38,2653.622559,-285.429047,416.431000,2738.047852,-196.067673,208.709442,2868.491699,-171.011002,81.529350,2880.244141,-209.177505,44.600658,2990.729492,-505.185059,830.914856
39,2642.827393,-277.483765,411.197815,2732.931152,-192.075455,205.558441,2867.763672,-169.570694,81.639648,2879.731689,-208.592819,45.453636,2981.195068,-500.135193,823.203003
40,2632.374268,-269.649994,406.080505,2728.006592,-188.554993,202.484543,2867.495850,-169.053818,82.017982,2879.432129,-208.663452,46.246635,2971.694580,-494.860321,816.239441
41,2622.327881,-262.068359,401.135162,2723.206299,-185.507813,199.531235,2867.438477,-169.248764,82.597115,2879.184814,-209.216660,46.964573,2962.260010,-489.430939,810.167236
42,2612.758301,-254.867477,396.362976,2718.542969,-182.890778,196.698822,2867.428711,-169.906769,83.292953,2878.915039,-210.059250,47.603886,2952.908936,-483.912994,805.124939
43,2603.719971,-248.153732,391.741302,2714.079102,-180.645660,193.963226,2867.378418,-170.807251,84.024666,2878.601563,-211.023636,48.165878,2943.648438,-478.363739,801.236816
44,2595.244141,-242.001831,387.253296,2709.889160,-178.724915,191.295929,2867.253662,-171.795227,84.733337,2878.249023,-211.995132,48.654961,2934.482422,-472.828949,798.608826
45,2587.347656,-236.449265,382.908417,2706.030762,-177.099564,188.685120,2867.049805,-172.790649,85.389153,2877.869385,-212.919708,49.079773,2925.414063,-467.343842,797.329285
46,2580.047852,-231.496597,378.754883,2702.538574,-175.749847,186.155197,2866.771973,-173.772903,85.986008,2877.472412,-213.792419,49.453239,2916.448730,-461.937744,797.470642
