HRJ_010
Date:,2017/04/10
Time:,15:44:02
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
464,-1528.519897,-3026.602051,538.900452,-1578.747681,-2981.168701,253.568954,-1581.218872,-2885.971191,86.055222,-1553.733765,-2863.397949,54.297775,-1509.644409,-2840.674316,1226.249512
465,-1526.831299,-3028.484863,538.775085,-1578.058838,-2981.692139,253.902145,-1580.959106,-2885.969482,86.314743,-1553.615601,-2863.372070,54.556767,-1504.608276,-2845.965820,1226.223022
466,-1524.562866,-3030.931396,538.589783,-1577.067139,-2982.367676,254.316177,-1580.589600,-2885.970215,86.682159,-1553.451904,-2863.338623,54.928402,-1498.263916,-2852.646729,1226.105469
467,-1521.741943,-3033.872803,538.348694,-1575.765747,-2983.175781,254.800995,-1580.106201,-2885.976807,87.166023,-1553.234619,-2863.300537,55.422169,-1490.853882,-2860.456787,1225.857178
468,-1518.431396,-3037.204590,538.070374,-1574.183350,-2984.091309,255.353790,-1579.512939,-2885.994141,87.772652,-1552.949707,-2863.263428,56.042946,-1482.661011,-2869.078369,1225.443970
469,-1514.708862,-3040.815430,537.787170,-1572.372925,-2985.093750,255.982452,-1578.820557,-2886.031006,88.509888,-1552.578613,-2863.234619,56.794247,-1473.935547,-2878.212646,1224.842163
470,-1510.651489,-3044.612549,537.540100,-1570.393921,-2986.175537,256.702393,-1578.042358,-2886.098145,89.389435,-1552.103394,-2863.223389,57.682281,-1464.864624,-2887.618652,1224.041626
471,-1506.322266,-3048.540527,537.368469,-1568.293335,-2987.344482,257.529846,-1577.192017,-2886.209229,90.427383,-1551.511597,-2863.240967,58.718163,-1455.568481,-2897.122559,1223.044800
472,-1501.761108,-3052.590332,537.297424,-1566.093750,-2988.623535,258.475159,-1576.279785,-2886.379150,91.643433,-1550.799683,-2863.299072,59.917614,-1446.110962,-2906.614014,1221.865845
473,-1496.980225,-3056.796387,537.330872,-1563.789185,-2990.045898,259.538727,-1575.311035,-2886.624268,93.058517,-1549.976685,-2863.409424,61.299648,-1436.515625,-2916.034912,1220.527344
474,-1491.964844,-3061.225342,537.452393,-1561.349365,-2991.650146,260.711121,-1574.286987,-2886.959961,94.691353,-1549.064331,-2863.581055,62.884670,-1426.781982,-2925.365723,1219.054321
475,-1486.677490,-3065.956787,537.631287,-1558.730713,-2993.476563,261.976196,-1573.206299,-2887.398926,96.555984,-1548.090454,-2863.820801,64.692039,-1416.898438,-2934.610596,1217.468750
476,-1481.064331,-3071.066406,537.830933,-1555.888184,-2995.559814,263.315887,-1572.067383,-2887.951660,98.661613,-1547.078857,-2864.134766,66.737038,-1406.850342,-2943.785156,1215.783569
477,-1475.064087,-3076.614014,538.016968,-1552.783691,-2997.927979,264.715057,-1570.868774,-2888.626953,101.014778,-1546.035156,-2864.529297,69.028358,-1396.622314,-2952.908447,1214.000122
478,-1468.618774,-3082.640625,538.163513,-1549.390869,-3000.600586,266.165405,-1569.610596,-2889.435303,103.623405,-1544.950073,-2865.014404,71.572975,-1386.197876,-2962.000732,1212.107788
479,-1461.681274,-3089.171387,538.255554,-1545.696655,-3003.590088,267.668121,-1568.294800,-2890.393066,106.501846,-1543.821899,-2865.605957,74.390976,-1375.557617,-2971.082764,1210.086670
480,-1454.215576,-3096.223145,538.286987,-1541.699951,-3006.909180,269.233795,-1566.923706,-2891.527344,109.675476,-1542.672607,-2866.326416,77.526886,-1364.677368,-2980.174561,1207.912476
481,-1446.193604,-3103.817139,538.256287,-1537.407104,-3010.579102,270.880798,-1565.495239,-2892.880859,113.183128,-1541.530396,-2867.208008,81.046249,-1353.528198,-2989.292969,1205.563354
482,-1437.589355,-3111.986328,538.159668,-1532.824097,-3014.638428,272.632874,-1563.998291,-2894.511230,117.077065,-1540.402466,-2868.295898,85.026108,-1342.078979,-2998.446289,1203.026733
483,-1428.373535,-3120.783447,537.983154,-1527.949463,-3019.148682,274.516388,-1562.407227,-2896.493652,121.422203,-1539.262573,-2869.650391,89.550606,-1330.302002,-3007.632324,1200.305054
484,-1418.508057,-3130.282227,537.693420,-1522.766968,-3024.195801,276.559509,-1560.676636,-2898.919678,126.295189,-1538.050659,-2871.349609,94.712990,-1318.180908,-3016.835449,1197.417969
485,-1407.944214,-3140.574219,537.232910,-1517.241211,-3029.889404,278.793396,-1558.734131,-2901.899658,131.784515,-1536.677856,-2873.493896,100.620941,-1305.719238,-3026.028809,1194.404785
486,-1396.621094,-3151.762939,536.521851,-1511.312988,-3036.359375,281.255524,-1556.473511,-2905.568359,137.991638,-1535.026123,-2876.207520,107.399178,-1292.946533,-3035.179199,1191.323486
487,-1384.461060,-3163.952881,535.467407,-1504.893555,-3043.749023,283.991791,-1553.748047,-2910.085449,145.029404,-1532.935669,-2879.637207,115.182381,-1279.919312,-3044.254150,1188.248047
