ZHN_005
Date:,2017/04/10
Time:,14:30:20
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,-1660.797363,-1650.073364,486.404572,-1822.160156,-1836.307983,316.638184,-1945.566284,-1901.283813,301.660767,-1999.067993,-1896.149292,291.785980,-1776.805176,-1551.904541,1180.441162
80,-1642.869873,-1632.168335,483.812653,-1805.937866,-1820.672607,319.878448,-1929.245850,-1886.670288,307.199707,-1982.956299,-1881.843140,297.311310,-1768.690918,-1541.171997,1177.385254
81,-1620.201538,-1609.396851,480.945984,-1784.959961,-1800.432739,323.502777,-1908.365234,-1867.443115,313.104248,-1962.230469,-1862.837769,303.050903,-1758.535767,-1527.684814,1173.218994
82,-1593.681152,-1582.538574,478.182831,-1759.784058,-1776.082275,327.085144,-1883.580322,-1844.008301,318.570251,-1937.495483,-1839.494263,308.103058,-1746.752686,-1511.981445,1168.054077
83,-1564.428589,-1552.571655,475.955200,-1731.192383,-1748.288818,330.165955,-1855.727539,-1817.042236,322.786346,-1909.551758,-1812.501831,311.559723,-1733.804443,-1494.685669,1162.190674
84,-1533.534302,-1520.438354,474.666321,-1699.999756,-1717.703125,332.356140,-1825.598145,-1787.290649,325.070801,-1879.170654,-1782.665649,312.672150,-1720.082886,-1476.336548,1156.091064
85,-1501.930176,-1486.944092,474.629089,-1666.956421,-1684.877319,333.401398,-1793.834717,-1755.426880,324.930145,-1846.981201,-1750.718018,310.927002,-1705.867432,-1457.315796,1150.304199
86,-1470.347168,-1452.736206,476.033386,-1632.708008,-1650.256470,333.201935,-1760.906616,-1721.965088,322.067657,-1813.440918,-1717.187134,306.058594,-1691.336304,-1437.846069,1145.343994
87,-1439.325562,-1418.320313,478.942413,-1597.782349,-1614.201660,331.794312,-1727.130005,-1687.227295,316.365265,-1778.855225,-1682.344482,298.023926,-1676.601929,-1418.026489,1141.551392
88,-1409.247314,-1384.090942,483.310577,-1562.589600,-1577.015869,329.306641,-1692.708496,-1651.354248,307.855896,-1743.413452,-1646.219971,286.959167,-1661.735107,-1397.872559,1139.024048
89,-1380.374390,-1350.363647,489.006775,-1527.429199,-1538.957397,325.903168,-1657.773926,-1614.343262,296.695404,-1707.229370,-1608.671875,273.135376,-1646.774170,-1377.340088,1137.665527
90,-1352.880859,-1317.402222,495.828918,-1492.506226,-1500.247803,321.736786,-1622.418213,-1576.100586,283.138702,-1670.386719,-1569.487061,256.924927,-1631.743286,-1356.347168,1137.293091
91,-1326.874390,-1285.433960,503.504669,-1457.958374,-1461.077881,316.920471,-1586.713135,-1536.501953,267.519684,-1632.973389,-1528.478394,238.778030,-1616.674194,-1334.803467,1137.710083
92,-1302.406738,-1254.651855,511.689362,-1423.886841,-1421.612305,311.518463,-1550.723022,-1495.455688,250.236206,-1595.098145,-1485.558350,219.202606,-1601.612671,-1312.646729,1138.735962
93,-1279.474731,-1225.206177,519.977417,-1390.380859,-1381.991821,305.552460,-1514.520508,-1452.957153,231.740005,-1556.897705,-1440.784668,198.746216,-1586.610229,-1289.869141,1140.222412
94,-1258.022339,-1197.192261,527.934143,-1357.531128,-1342.341187,299.021179,-1478.214478,-1409.129517,212.528275,-1518.560425,-1394.392212,177.983032,-1571.708862,-1266.526367,1142.056641
95,-1237.947266,-1170.640747,535.139954,-1325.441895,-1302.786377,291.933533,-1441.992676,-1364.249634,193.133087,-1480.367310,-1346.801392,157.504471,-1556.923828,-1242.732788,1144.151978
96,-1219.115112,-1145.515137,541.238098,-1294.249878,-1263.486084,284.347534,-1406.159668,-1318.750488,174.108261,-1442.727783,-1298.595459,137.903458,-1542.228516,-1218.645874,1146.438477
97,-1201.378784,-1121.720215,545.974609,-1264.149658,-1224.668945,276.399170,-1371.157471,-1273.209595,156.010956,-1406.190796,-1250.476318,119.744194,-1527.547852,-1194.445190,1148.858521
98,-1184.598877,-1099.116211,549.216980,-1235.413818,-1186.659302,268.304688,-1337.560791,-1228.324585,139.370712,-1371.422485,-1203.229858,103.519295,-1512.762695,-1170.311646,1151.360596
99,-1168.656006,-1077.531982,550.940247,-1208.395142,-1149.874268,260.329590,-1306.041260,-1184.875977,124.647072,-1339.144287,-1157.705688,89.599510,-1497.729492,-1146.410156,1153.885376
100,-1153.445923,-1056.776245,551.184998,-1183.505737,-1114.790894,252.735031,-1277.295166,-1143.686279,112.187416,-1310.042480,-1114.797974,78.185936,-1482.313965,-1122.877075,1156.342163
101,-1138.863647,-1036.652954,550.011902,-1161.172241,-1081.901489,245.722046,-1251.949097,-1105.581787,102.194000,-1284.673584,-1075.409424,69.283531,-1466.421753,-1099.816528,1158.588623
102,-1124.795288,-1016.985657,547.483826,-1141.770752,-1051.665894,239.388000,-1230.470825,-1071.343262,94.705132,-1263.393799,-1040.384277,62.713173,-1450.011353,-1077.295776,1160.424927
103,-1111.125488,-997.643372,543.671753,-1125.548828,-1024.465332,233.711975,-1213.106689,-1041.644409,89.593376,-1246.325439,-1010.421082,58.162403,-1433.093018,-1055.342773,1161.609863
104,-1097.750610,-978.554504,538.666443,-1112.551025,-1000.570374,228.584763,-1199.848267,-1016.975403,86.576653,-1233.357056,-985.977234,55.252197,-1415.720947,-1033.946533,1161.891113
105,-1084.586060,-959.701843,532.588806,-1102.571289,-980.129883,223.871109,-1190.424438,-997.563232,85.241577,-1224.158203,-967.181519,53.593559,-1397.984863,-1013.064575,1161.042969
106,-1071.561279,-941.113342,525.605896,-1095.153809,-963.172119,219.467773,-1184.323120,-983.298584,85.094971,-1218.204224,-953.772583,52.825718,-1379.997681,-992.630188,1158.906982
107,-1058.610962,-922.861450,517.942322,-1089.647705,-949.599365,215.334915,-1180.855225,-973.693909,85.651009,-1214.823608,-945.095947,52.641979,-1361.880005,-972.558411,1155.434570
108,-1045.684692,-905.071594,509.871399,-1085.316650,-939.157898,211.493317,-1179.263428,-967.924255,86.521736,-1213.287476,-940.192688,52.806656,-1343.743774,-952.750305,1150.720093
109,-1032.781738,-887.926758,501.684326,-1081.489624,-931.402710,207.989410,-1178.851807,-964.982849,87.456650,-1212.922974,-937.980042,53.154526,-1325.673706,-933.094177,1145.016357
110,-1019.994324,-871.658997,493.647339,-1077.713745,-925.726929,204.851379,-1179.081543,-963.890991,88.317467,-1213.199829,-937.453186,53.569656,-1307.711792,-913.469116,1138.722534
111,-1007.527893,-856.527527,485.960114,-1073.836792,-921.490906,202.070709,-1179.596680,-963.849243,89.031578,-1213.756714,-937.817444,53.965569,-1289.848145,-893.758118,1132.339355
112,-995.682129,-842.781494,478.738251,-1069.982178,-918.179993,199.616013,-1180.192993,-964.288330,89.566963,-1214.377075,-938.525146,54.284317,-1272.020874,-873.868164,1126.383911
