ZHN_001
Date:,2017/04/10
Time:,14:29:32
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,161.524200,1966.395020,410.338531,-8.023759,1927.712280,181.699478,-142.756210,1925.823486,90.296791,-162.378555,1962.187134,53.106846,-168.938034,1985.198853,1016.341614
2,159.536392,1964.678955,413.204346,-8.298470,1927.305420,182.461823,-142.275894,1925.722412,91.174507,-162.190857,1962.116943,54.164124,-166.502151,1985.521240,1022.933167
3,156.562714,1962.273071,417.623016,-8.530911,1926.631592,183.883759,-141.252960,1925.548584,92.736221,-161.613037,1961.975586,56.023525,-163.199799,1986.085205,1032.155762
4,152.474564,1959.167114,423.861511,-8.631935,1925.631104,186.186508,-139.473068,1925.288696,95.195175,-160.452942,1961.744751,58.927376,-159.065155,1986.950073,1044.087402
5,147.195419,1955.412354,432.127808,-8.492465,1924.259521,189.598465,-136.712570,1924.941284,98.772728,-158.499634,1961.417480,63.122704,-154.200974,1988.157593,1058.640991
6,140.706116,1951.114868,442.562836,-7.994941,1922.496826,194.341019,-132.762650,1924.522461,103.688187,-155.544128,1961.005981,68.847153,-148.753815,1989.720947,1075.614258
7,133.052963,1946.425293,455.230194,-7.027163,1920.356934,200.612396,-127.460236,1924.070313,110.144409,-151.406891,1960.547485,76.309624,-142.892044,1991.616699,1094.730835
8,124.357704,1941.527344,470.105652,-5.498184,1917.894409,208.570343,-120.723526,1923.645142,118.309578,-145.970200,1960.106323,85.667198,-136.787430,1993.782349,1115.671631
9,114.825630,1936.621460,487.069092,-3.355176,1915.207520,218.315704,-112.586403,1923.326904,128.296768,-139.211761,1959.772339,97.001251,-130.600739,1996.118042,1138.095093
10,104.748131,1931.909302,505.902435,-0.599060,1912.435181,229.879059,-103.224518,1923.206421,140.144424,-131.233093,1959.652100,110.297180,-124.471519,1998.495239,1161.651367
11,94.495575,1927.576782,526.296021,2.704443,1909.746460,243.212280,-92.964073,1923.374268,153.801849,-122.274529,1959.855469,125.432961,-118.511795,2000.769409,1185.990356
12,84.497910,1923.779785,547.865662,6.422305,1907.324097,258.186981,-82.265640,1923.905762,169.124207,-112.709442,1960.477661,142.181503,-112.803505,2002.796143,1210.767944
13,75.212433,1920.633545,570.178833,10.363625,1905.341919,274.600647,-71.679359,1924.846191,185.880386,-103.013107,1961.579102,160.229568,-107.399544,2004.447021,1235.652100
14,67.081093,1918.206787,592.787842,14.302317,1903.941650,292.189667,-61.775124,1926.199585,203.773834,-93.707603,1963.168579,179.211838,-102.327713,2005.624146,1260.329224
15,60.482853,1916.521973,615.264709,18.010874,1903.213257,310.648132,-53.060139,1927.921753,222.472809,-85.291710,1965.192139,198.752930,-97.596840,2006.270752,1284.512451
