HLL_009
Date:,2017/04/11
Time:,09:59:17
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,1450.498779,-1599.960571,459.826355,1418.754395,-1748.954956,278.504272,1344.030518,-1849.725952,195.931641,1305.452515,-1860.451050,169.985703,1290.209351,-1488.753174,1102.538452
16,1452.098633,-1591.928101,461.851105,1420.152588,-1740.972290,280.443939,1345.468506,-1841.505371,196.923828,1306.943726,-1852.072876,170.828583,1291.741333,-1480.432861,1104.920898
17,1453.833496,-1582.456787,464.221619,1422.128174,-1730.669434,282.044800,1347.831665,-1830.662598,196.661789,1309.426270,-1840.930908,170.279221,1293.679932,-1469.902710,1107.501953
18,1455.533081,-1572.161621,466.717865,1424.726318,-1718.288452,282.822052,1351.245239,-1817.312622,194.540176,1313.039551,-1827.108154,167.711319,1295.964233,-1457.567871,1109.969238
19,1457.083740,-1561.575195,469.070007,1427.955200,-1704.147095,282.375427,1355.691162,-1801.668213,190.219910,1317.768188,-1810.798340,162.790771,1298.527832,-1443.936279,1112.019043
20,1458.469604,-1550.999390,471.001678,1431.770386,-1688.569214,280.494995,1360.990601,-1784.010376,183.703094,1323.422974,-1792.277588,155.553268,1301.320068,-1429.496704,1113.410767
21,1459.769531,-1540.507446,472.266205,1436.066895,-1671.884033,277.185242,1366.825439,-1764.707275,175.300369,1329.662476,-1771.922974,146.369980,1304.311768,-1414.658936,1113.979736
22,1461.125732,-1530.029297,472.668091,1440.682129,-1654.459595,272.622406,1372.779785,-1744.249268,165.540695,1336.037598,-1750.244751,135.847900,1307.489380,-1399.734741,1113.622070
23,1462.700928,-1519.454468,472.061859,1445.401245,-1636.746338,267.083588,1378.393311,-1723.282837,155.055954,1342.050659,-1727.920166,124.695572,1310.844360,-1384.940918,1112.268677
24,1464.626709,-1508.712891,470.339508,1449.966431,-1619.303833,260.876495,1383.221313,-1702.627319,144.468185,1347.229126,-1705.809937,113.587013,1314.364624,-1370.409668,1109.862183
25,1466.951172,-1497.822021,467.430176,1454.094727,-1602.785645,254.288666,1386.898315,-1683.245239,134.304428,1351.204834,-1684.931763,103.056831,1318.030273,-1356.195801,1106.344604
26,1469.613525,-1486.897949,463.322937,1457.509644,-1587.872803,247.567383,1389.195313,-1666.144653,124.950668,1353.779541,-1666.362305,93.448685,1321.813232,-1342.282959,1101.663696
27,1472.458374,-1476.132202,458.097809,1459.986572,-1575.160767,240.928970,1390.071655,-1652.207031,116.635025,1354.963745,-1651.060547,84.918571,1325.679199,-1328.592407,1095.796021
28,1475.276001,-1465.748413,451.945343,1461.414673,-1565.025513,234.577133,1389.705566,-1641.970947,109.433449,1354.977173,-1639.635132,77.479477,1329.588135,-1314.994873,1088.777954
29,1477.854126,-1455.953369,445.164948,1461.859253,-1557.504028,228.702682,1388.457397,-1635.456299,103.318665,1354.186279,-1632.151001,71.079788,1333.490479,-1301.319946,1080.729126
30,1480.038696,-1446.883545,438.136749,1461.573120,-1552.249390,223.460403,1386.753784,-1632.155640,98.249207,1352.985718,-1628.112793,65.692825,1337.324707,-1287.362061,1071.855835
31,1481.784424,-1438.551270,431.264557,1460.908203,-1548.633667,218.961014,1384.972900,-1631.227661,94.236877,1351.699585,-1626.669922,61.365139,1341.022339,-1272.894897,1062.432495
