HLL_008
Date:,2017/04/11
Time:,09:59:10
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,994.027527,-2140.747803,377.690979,868.371704,-2294.942871,237.684982,736.519287,-2383.653076,163.893570,696.401001,-2375.026611,139.690933,924.354980,-1852.506592,969.283508
7,1004.570618,-2130.215576,376.787933,878.185364,-2287.222900,241.383835,746.887756,-2376.894287,173.047836,705.686768,-2369.351318,150.931610,931.013245,-1841.672729,968.480408
8,1018.394714,-2116.260986,375.356903,891.234863,-2276.672852,245.814148,760.970703,-2367.225342,184.575302,718.522583,-2361.048340,165.200638,939.335022,-1827.912231,967.479065
9,1035.177124,-2099.072266,373.312408,907.310425,-2263.279785,250.695145,778.676147,-2354.448242,197.966095,734.937561,-2349.860840,181.900253,948.942810,-1811.718872,966.318848
10,1054.380493,-2078.975830,370.620300,925.998230,-2247.155762,255.740479,799.645935,-2338.545166,212.547058,754.703857,-2335.694336,200.190628,959.376587,-1793.712891,965.041382
11,1075.381348,-2056.304199,367.315125,946.793152,-2228.459229,260.724274,823.327759,-2319.656250,227.605179,777.375061,-2318.621826,219.133698,970.195129,-1774.486328,963.681396
12,1097.562988,-2031.320313,363.504822,969.183044,-2207.345215,265.501923,849.033264,-2298.058838,242.467667,802.323547,-2298.872070,237.789322,981.028931,-1754.524902,962.269226
13,1120.378906,-2004.190063,359.362762,992.706909,-2183.936035,270.003235,876.004333,-2274.132324,256.564240,828.803040,-2276.795166,255.291336,991.600037,-1734.181396,960.837524
14,1143.386963,-1974.992432,355.112885,1016.985474,-2158.311279,274.213226,903.496094,-2248.291016,269.470978,856.045105,-2252.791016,270.921814,1001.720032,-1713.682129,959.429626
15,1166.257324,-1943.753052,351.012756,1041.723999,-2130.512207,278.153259,930.872131,-2220.888672,280.915894,883.376160,-2227.209229,284.165649,1011.274536,-1693.149414,958.104248
16,1188.758423,-1910.481567,347.337067,1066.697388,-2100.557129,281.865662,957.684998,-2192.134521,290.738495,910.320374,-2200.266602,294.716278,1020.203186,-1672.629883,956.935974
17,1210.726196,-1875.202393,344.364319,1091.729858,-2068.460938,285.395538,983.706543,-2162.076416,298.828888,936.645752,-2172.027832,302.438995,1028.482910,-1652.120361,956.009949
18,1232.028809,-1837.972290,342.366608,1116.679199,-2034.258179,288.769104,1008.899231,-2130.665527,305.088287,962.337891,-2142.462891,307.323334,1036.115479,-1631.588135,955.414551
19,1252.539673,-1798.890991,341.596436,1141.422607,-1998.023071,291.981323,1033.357422,-2097.852295,309.423523,987.529602,-2111.525635,309.441162,1043.119629,-1610.984985,955.232422
20,1272.125488,-1758.107544,342.268372,1165.844482,-1959.880859,295.003876,1057.253540,-2063.646484,311.760193,1012.427856,-2079.198486,308.916931,1049.526489,-1590.252441,955.533447
21,1290.644897,-1715.824951,344.541077,1189.829468,-1920.005737,297.803406,1080.801758,-2028.115479,312.059601,1037.260132,-2045.487427,305.915619,1055.384766,-1569.324829,956.370544
22,1307.957397,-1672.301025,348.508148,1213.267090,-1878.607666,300.351013,1104.229858,-1991.350708,310.334534,1062.239014,-2010.400635,300.643463,1060.763794,-1548.135254,957.782654
23,1323.935181,-1627.844604,354.196747,1236.058960,-1835.914429,302.620361,1127.750244,-1953.433350,306.657928,1087.533081,-1973.932861,293.345367,1065.750366,-1526.628418,959.802979
24,1338.477417,-1582.806396,361.566864,1258.125977,-1792.155151,304.581451,1151.526489,-1914.415039,301.158417,1113.240112,-1936.060303,284.292206,1070.442261,-1504.769409,962.462524
25,1351.521362,-1537.567017,370.508270,1279.413574,-1747.548218,306.195618,1175.646606,-1874.309814,294.004211,1139.368164,-1896.740479,273.759613,1074.941040,-1482.538574,965.783691
26,1363.051514,-1492.524780,380.839813,1299.891235,-1702.294556,307.413116,1200.110718,-1833.094727,285.383331,1165.834717,-1855.915405,262.005035,1079.343994,-1459.922974,969.772827
27,1373.103882,-1448.080566,392.316040,1319.549561,-1656.573486,308.173737,1224.838745,-1790.715576,275.486023,1192.484497,-1813.518799,249.251968,1083.731812,-1436.909912,974.417297
28,1381.768188,-1404.617432,404.639771,1338.396484,-1610.539551,308.412231,1249.694336,-1747.097900,264.494019,1219.121582,-1769.486816,235.689621,1088.160767,-1413.483154,979.683594
29,1389.181152,-1362.477661,417.478149,1356.454224,-1564.322388,308.070831,1274.515625,-1702.160400,252.581924,1245.545288,-1723.770264,221.487289,1092.659058,-1389.623901,985.513916
30,1395.516113,-1321.941895,430.480194,1373.755249,-1518.026001,307.115753,1299.143433,-1655.833740,239.929596,1271.578735,-1676.348633,206.815918,1097.229736,-1365.316772,991.825439
31,1400.965942,-1283.210327,443.294678,1390.337036,-1471.729980,305.552094,1323.438354,-1608.076904,226.737396,1297.080322,-1627.240967,191.866577,1101.858521,-1340.561646,998.512939
32,1405.721069,-1246.390381,455.584900,1406.230713,-1425.496582,303.430908,1347.281494,-1558.896240,213.235077,1321.937256,-1576.518555,176.857117,1106.524780,-1315.384521,1005.450684
33,1409.953369,-1211.492188,467.043243,1421.447144,-1379.383423,300.844727,1370.558838,-1508.364258,199.678726,1346.040527,-1524.318848,162.027298,1111.210083,-1289.845337,1012.494812
34,1413.810425,-1178.434326,477.407837,1435.964111,-1333.463745,297.914124,1393.129150,-1456.638306,186.336288,1369.250610,-1470.857666,147.627518,1115.905640,-1264.038086,1019.489136
35,1417.423706,-1147.057861,486.480133,1449.721191,-1287.850220,294.769867,1414.789185,-1403.977417,173.468857,1391.365601,-1416.442627,133.904205,1120.612549,-1238.083740,1026.276123
36,1420.917358,-1117.147217,494.133850,1462.625732,-1242.717407,291.534302,1435.253174,-1350.762085,161.313141,1412.107056,-1361.489990,121.081146,1125.340698,-1212.116821,1032.710449
37,1424.413940,-1088.453369,500.310852,1474.565063,-1198.314941,288.302338,1454.162598,-1297.508911,150.063354,1431.130249,-1306.537476,109.337570,1130.105591,-1186.266602,1038.667725
38,1428.033447,-1060.716431,505.008789,1485.417969,-1154.966309,285.127106,1471.120728,-1244.868286,139.850922,1448.058960,-1252.239624,98.788139,1134.923584,-1160.644409,1044.046387
39,1431.882935,-1033.682983,508.268158,1495.065308,-1113.051025,282.016296,1485.746094,-1193.594849,130.729355,1462.533691,-1199.344116,89.471878,1139.805908,-1135.338379,1048.765869
40,1436.044067,-1007.121826,510.162292,1503.402588,-1072.975098,278.938324,1497.732666,-1144.494385,122.673859,1474.265625,-1148.646484,81.353401,1144.753662,-1110.414917,1052.762329
41,1440.558350,-980.839233,510.787964,1510.358398,-1035.127075,275.833008,1506.905884,-1098.353516,115.596390,1483.088501,-1100.933960,74.336411,1149.755249,-1085.918457,1055.981201
42,1445.417603,-954.694946,510.255920,1515.912476,-999.830811,272.624023,1513.264771,-1055.866943,109.373306,1489.006836,-1056.926025,68.287598,1154.788452,-1061.872192,1058.370605
43,1450.560059,-928.616272,508.680206,1520.112183,-967.304932,269.230804,1517.006592,-1017.573181,103.879303,1492.228882,-1017.221558,63.066223,1159.829224,-1038.278076,1059.876343
44,1455.876709,-902.605225,506.164185,1523.084351,-937.642639,265.576935,1518.526855,-983.811829,99.018433,1493.170654,-982.259583,58.552975,1164.863159,-1015.122620,1060.441162
45,1461.229858,-876.733154,502.783051,1525.037842,-910.814758,261.596039,1518.391357,-954.709473,94.744392,1492.422852,-952.295349,54.674534,1169.896851,-992.385620,1060.008545
46,1466.479492,-851.121155,498.571167,1526.254639,-886.687256,257.239960,1517.278931,-930.194641,91.067223,1490.682007,-927.393433,51.421818,1174.961548,-970.049194,1058.532471
47,1471.512329,-825.909058,493.525391,1527.068726,-865.044617,252.491760,1515.894531,-910.033752,88.044228,1488.655273,-907.431580,48.852661,1180.110474,-948.100952,1055.986816
48,1476.266846,-801.215942,487.625458,1527.830078,-845.613647,247.379501,1514.863281,-893.875183,85.746384,1486.955933,-892.105164,47.060265,1185.404297,-926.535767,1052.377686
49,1480.747925,-777.102600,480.865479,1528.854736,-828.090271,241.982346,1514.618774,-881.289490,84.201141,1486.000488,-880.927612,46.104618,1190.895752,-905.355469,1047.755127
50,1485.025635,-753.553406,473.285400,1530.366943,-812.164856,236.421906,1515.308105,-871.797791,83.351051,1485.931152,-873.243958,45.948311,1196.614746,-884.565857,1042.225098
51,1489.220459,-730.495361,464.992554,1532.443481,-797.549744,230.842224,1516.760986,-864.892639,83.069412,1486.608765,-868.290649,46.447018,1202.562500,-864.171082,1035.953613
52,1493.476807,-707.858276,456.164856,1534.983032,-784.018188,225.389069,1518.569580,-860.060425,83.210571,1487.697021,-865.299011,47.392200,1208.713623,-844.165100,1029.159424
53,1497.922485,-685.655090,447.026459,1537.731079,-771.449036,220.196442,1520.263916,-856.802185,83.643661,1488.810059,-863.593018,48.567474,1215.023682,-824.523010,1022.095520
54,1502.613281,-664.038818,437.790924,1540.374146,-759.842834,215.373795,1521.486572,-854.653198,84.259995,1489.651855,-862.641296,49.792484,1221.441772,-805.193848,1015.019043
55,1507.491333,-643.297668,428.593018,1542.663696,-749.274658,210.980347,1522.077148,-853.214294,84.970421,1490.080200,-862.067871,50.943607,1227.923340,-786.094727,1008.157654
56,1512.391602,-623.785583,419.448242,1544.485840,-739.809265,206.996902,1522.052124,-852.180054,85.702995,1490.087036,-861.637085,51.952206,1234.439453,-767.105530,1001.682434
