HLL_005
Date:,2017/04/11
Time:,09:58:49
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
13,1660.094360,-1240.264893,432.929535,1717.985962,-1395.527222,261.329559,1704.271973,-1524.367920,172.677200,1682.361450,-1549.670532,138.978882,1513.284790,-1417.269775,1072.183105
14,1653.876465,-1234.762329,432.639313,1711.065186,-1389.746704,260.264160,1697.275024,-1519.346924,171.655380,1675.068359,-1544.558105,138.047272,1510.350586,-1415.438965,1072.117554
15,1646.133423,-1227.950439,432.418549,1702.366943,-1382.434082,258.979462,1688.437378,-1512.689453,170.105698,1665.860229,-1537.718506,136.576630,1506.667236,-1413.128296,1071.990845
16,1637.229492,-1220.165039,432.356018,1692.258545,-1373.853638,257.551544,1678.132446,-1504.474731,167.959076,1655.129883,-1529.215576,134.484970,1502.385620,-1410.424805,1071.789429
17,1627.595459,-1211.790649,432.533569,1681.191284,-1364.310913,256.050476,1666.828003,-1494.842041,165.180756,1643.366333,-1519.187988,131.730667,1497.683838,-1407.433594,1071.509766
18,1617.625000,-1203.166016,433.005737,1669.591797,-1354.058472,254.513687,1654.961548,-1483.935059,161.770096,1631.021973,-1507.790527,128.311874,1492.724243,-1404.251099,1071.160400
19,1607.623535,-1194.538330,433.790131,1657.804443,-1343.257446,252.939606,1642.875732,-1471.879028,157.757019,1618.445190,-1495.162964,124.262810,1487.636963,-1400.950928,1070.759888
20,1597.793579,-1186.051880,434.869385,1646.074219,-1331.978760,251.298096,1630.804810,-1458.778198,153.197388,1605.869873,-1481.422607,119.647629,1482.521240,-1397.579468,1070.332031
21,1588.246094,-1177.756836,436.200836,1634.556885,-1320.225098,249.548172,1618.893311,-1444.720581,148.168854,1593.438110,-1466.668945,114.553688,1477.451904,-1394.156494,1069.902100
22,1579.023682,-1169.629883,437.728882,1623.340942,-1307.961914,247.655746,1607.227295,-1429.783936,142.768311,1581.237427,-1450.993530,109.088318,1472.487549,-1390.683350,1069.492798
23,1570.128540,-1161.601440,439.394684,1612.469604,-1295.146606,245.609299,1595.862305,-1414.040283,137.110977,1569.330566,-1434.488525,103.378265,1467.675293,-1387.149536,1069.122437
24,1561.545654,-1153.586914,441.144897,1601.958984,-1281.753418,243.431320,1584.841797,-1397.562256,131.329636,1557.770630,-1417.252319,97.567909,1463.054077,-1383.540649,1068.802979
25,1553.259888,-1145.511719,442.939728,1591.813232,-1267.792725,241.181366,1574.205078,-1380.428467,125.572670,1546.605591,-1399.396484,91.815163,1458.651978,-1379.842529,1068.540283
26,1545.260986,-1137.328857,444.757507,1582.034912,-1253.323120,238.948807,1563.990234,-1362.732422,119.997208,1535.883179,-1381.052979,86.284973,1454.483154,-1376.043335,1068.333252
27,1537.546753,-1129.023804,446.593567,1572.630981,-1238.453125,236.838394,1554.232788,-1344.593018,114.755615,1525.650757,-1362.379639,81.136696,1450.548828,-1372.133667,1068.174561
28,1530.121826,-1120.608643,448.455170,1563.610718,-1223.331299,234.952606,1544.962158,-1326.163086,109.978828,1515.950806,-1343.559570,76.505020,1446.839233,-1368.103149,1068.051270
29,1522.994995,-1112.108032,450.352661,1554.979736,-1208.128784,233.374619,1536.193970,-1307.628418,105.762909,1506.810913,-1324.791992,72.482849,1443.338623,-1363.937744,1067.947998
30,1516.171265,-1103.541260,452.290039,1546.736450,-1193.014771,232.155716,1527.925293,-1289.196533,102.164360,1498.238281,-1306.278564,69.115021,1440.028320,-1359.617920,1067.850098
31,1509.643799,-1094.904907,454.259460,1538.872314,-1178.131958,231.311798,1520.136353,-1271.078491,99.202866,1490.221191,-1288.204590,66.401993,1436.889771,-1355.118286,1067.747070
32,1503.389160,-1086.165405,456.242798,1531.372070,-1163.578491,230.829376,1512.798706,-1253.465820,96.865761,1482.733032,-1270.723389,64.306465,1433.907593,-1350.411133,1067.631470
33,1497.371460,-1077.264526,458.217896,1524.215820,-1149.402954,230.675766,1505.880859,-1236.508423,95.113960,1475.736694,-1253.940430,62.761799,1431.069214,-1345.469238,1067.498901
34,1491.549194,-1068.136597,460.165710,1517.381836,-1135.607544,230.807037,1499.352173,-1220.294800,93.890167,1469.188110,-1237.902466,61.686214,1428.365234,-1340.268799,1067.344604
35,1485.882324,-1058.728394,462.074768,1510.848633,-1122.155640,231.172684,1493.183228,-1204.840698,93.124893,1463.042725,-1222.594238,60.996353,1425.788696,-1334.792480,1067.161011
36,1480.337158,-1049.013672,463.941895,1504.594971,-1108.981567,231.717224,1487.350220,-1190.089233,92.736229,1457.266602,-1207.943726,60.610001,1423.333984,-1329.030396,1066.933105
37,1474.886597,-1039.000732,465.768280,1498.597290,-1096.004761,232.381119,1481.838257,-1175.923340,92.626442,1451.840820,-1193.833618,60.439560,1420.996704,-1322.981323,1066.636353
38,1469.508789,-1028.728027,467.552185,1492.830811,-1083.143677,233.103577,1476.640991,-1162.189697,92.682388,1446.758423,-1180.116333,60.386547,1418.772339,-1316.651123,1066.231567
39,1464.184692,-1018.253357,469.282318,1487.270996,-1070.326904,233.826935,1471.755981,-1148.724854,92.784760,1442.016113,-1166.634399,60.344410,1416.657593,-1310.051025,1065.661865
40,1458.893188,-1007.638184,470.935242,1481.894165,-1057.497070,234.500183,1467.176514,-1135.378174,92.823166,1437.604248,-1153.238037,60.210064,1414.652710,-1303.195923,1064.850708
41,1453.606812,-996.933411,472.475555,1476.677490,-1044.609009,235.081177,1462.883545,-1122.026367,92.709991,1433.496460,-1139.800537,59.899345,1412.763550,-1296.105835,1063.703857
42,1448.294189,-986.167664,473.858795,1471.598633,-1031.627197,235.538162,1458.840698,-1108.578125,92.388809,1429.647339,-1126.228638,59.359680,1411.001953,-1288.805908,1062.114624
43,1442.927612,-975.342102,475.037506,1466.636841,-1018.525269,235.849426,1454.996460,-1094.978882,91.836586,1425.998413,-1112.471802,58.575150,1409.381714,-1281.325195,1059.970093
44,1437.489990,-964.430664,475.965576,1461.775024,-1005.287903,235.999634,1451.298218,-1081.214844,91.060616,1422.491943,-1098.527344,57.563271,1407.912109,-1273.691040,1057.160034
45,1431.979614,-953.387146,476.599396,1457.002686,-991.915039,235.974411,1447.706421,-1067.316040,90.092110,1419.084961,-1084.442871,56.366154,1406.590698,-1265.924072,1053.585815
46,1426.412598,-942.155762,476.897003,1452.319824,-978.427307,235.755844,1444.204468,-1053.355347,88.979027,1415.759888,-1070.315674,55.041565,1405.399658,-1258.037598,1049.170410
47,1420.824219,-930.683716,476.815216,1447.740723,-964.872925,235.319473,1440.801636,-1039.445801,87.780144,1412.529419,-1056.291016,53.657852,1404.306030,-1250.040649,1043.869019
48,1415.267822,-918.934143,476.305664,1443.292603,-951.332947,234.631790,1437.528076,-1025.740723,86.562546,1409.433228,-1042.560303,52.293602,1403.267700,-1241.941284,1037.676025
49,1409.809326,-906.896423,475.312866,1439.010742,-937.923584,233.650772,1434.427490,-1012.434143,85.403511,1406.526367,-1029.360962,51.040550,1402.239746,-1233.745850,1030.627686
50,1404.517822,-894.590942,473.778107,1434.930176,-924.795532,232.332733,1431.546875,-999.763000,84.392624,1403.865112,-1016.971802,50.004192,1401.179443,-1225.459839,1022.801025
51,1399.455322,-882.065674,471.649200,1431.077637,-912.127258,230.645142,1428.925537,-988.005066,83.623817,1401.493774,-1005.701721,49.290890,1400.051025,-1217.088379,1014.308899
52,1394.667969,-869.386536,468.896606,1427.465088,-900.113159,228.582123,1426.585938,-977.464905,83.171738,1399.436523,-995.856201,48.975704,1398.830200,-1208.635986,1005.292236
53,1390.179688,-856.628174,465.532776,1424.084717,-888.943115,226.178696,1424.526001,-968.431702,83.064629,1397.690918,-987.680725,49.067165,1397.510620,-1200.103882,995.911316
54,1385.988037,-843.870972,461.627594,1420.907715,-878.769409,223.517639,1422.719116,-961.111084,83.274994,1396.226440,-981.295715,49.498047,1396.108154,-1191.489624,986.338196
55,1382.063843,-831.205811,457.311523,1417.891602,-869.667236,220.723862,1421.124756,-955.558105,83.733047,1394.993774,-976.654236,50.151566,1394.660889,-1182.788696,976.751831
56,1378.353271,-818.739197,452.762146,1414.995605,-861.611633,217.944931,1419.705688,-951.647888,84.350563,1393.941040,-973.546692,50.904606,1393.217529,-1174.000488,967.337708
57,1374.789429,-806.591248,448.173187,1412.195923,-854.492859,215.319763,1418.437744,-949.106689,85.041832,1393.027954,-971.654968,51.661476,1391.820923,-1165.134033,958.290405
58,1371.310425,-794.884399,443.711761,1409.492310,-848.167236,212.943985,1417.310059,-947.588989,85.735352,1392.230835,-970.629944,52.363274,1390.493896,-1156.214478,949.815613
59,1367.876343,-783.725830,439.478271,1406.903076,-842.507813,210.847412,1416.320068,-946.757813,86.378998,1391.538208,-970.157410,52.980587,1389.233521,-1147.281616,942.130005
60,1364.476685,-773.192017,435.489349,1404.453979,-837.425049,208.998917,1415.464966,-946.335022,86.943756,1390.943115,-969.992004,53.505264,1388.017090,-1138.379395,935.455200
61,1361.132080,-763.322632,431.696838,1402.169800,-832.859314,207.335754,1414.734863,-946.117310,87.425491,1390.435913,-969.962219,53.945660,1386.815552,-1129.535278,930.006897
62,1357.891357,-754.122925,428.032379,1400.070801,-828.765991,205.797684,1414.109985,-945.972656,87.842148,1390.000732,-969.961304,54.323315,1385.606079,-1120.743652,925.979858
63,1354.829224,-745.572021,424.453552,1398.169067,-825.106201,204.350113,1413.561157,-945.826233,88.227966,1389.613770,-969.932922,54.671307,1384.380981,-1111.961670,923.533325
64,1352.039917,-737.633728,420.971283,1396.468506,-821.839722,202.991013,1413.048096,-945.641785,88.628830,1389.241211,-969.855408,55.034050,1383.154175,-1103.116699,922.779785
65,1349.626465,-730.266052,417.654266,1394.963867,-818.919067,201.745728,1412.521606,-945.404236,89.101028,1388.841431,-969.726135,55.467781,1381.963257,-1094.122070,923.780945
