HLL_006
Date:,2017/04/11
Time:,09:58:55
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,104.640892,-1817.916626,444.952026,85.136139,-1943.293945,231.409378,14.940495,-2034.548218,118.681023,-18.577820,-2039.185181,84.905945,-26.445213,-1823.580688,1081.610107
21,104.246536,-1812.615845,444.782379,85.067139,-1940.403198,232.632324,15.095335,-2033.047485,120.983582,-18.488989,-2038.064819,87.343361,-28.376101,-1821.112305,1081.833984
22,103.747841,-1805.707397,444.500092,84.971321,-1936.560791,234.221405,15.278912,-2030.989502,124.050392,-18.406769,-2036.489014,90.603432,-30.807453,-1818.012573,1082.076904
23,103.168709,-1797.350586,444.076996,84.844475,-1931.815186,236.141068,15.469414,-2028.358887,127.853012,-18.355249,-2034.426514,94.659973,-33.640427,-1814.410278,1082.309448
24,102.544212,-1787.779785,443.487030,84.678062,-1926.256470,238.343094,15.631301,-2025.153442,132.333282,-18.366745,-2031.856934,99.452469,-36.752819,-1810.460938,1082.502563
25,101.913925,-1777.239380,442.710938,84.457626,-1919.984985,240.781769,15.714482,-2021.368530,137.423523,-18.483248,-2028.760132,104.908173,-40.025970,-1806.310669,1082.633423
26,101.314079,-1765.951294,441.743561,84.163864,-1913.093872,243.419708,15.656080,-2016.991333,143.053345,-18.756546,-2025.111938,110.949188,-43.358223,-1802.079224,1082.686768
27,100.770462,-1754.105835,440.601044,83.775002,-1905.662842,246.226685,15.385881,-2012.005005,149.149628,-19.244637,-2020.888794,117.491440,-46.671425,-1797.854858,1082.652832
28,100.293983,-1741.866211,439.323608,83.268654,-1897.759644,249.175568,14.834691,-2006.395752,155.634277,-20.002575,-2016.073853,124.440903,-49.913868,-1793.696167,1082.525146
29,99.879929,-1729.376587,437.975464,82.622910,-1889.445557,252.239502,13.943784,-2000.161865,162.421677,-21.069557,-2010.665527,131.690155,-53.059769,-1789.636230,1082.299194
30,99.512436,-1716.769287,436.643860,81.816910,-1880.779663,255.391388,12.674869,-1993.317383,169.414444,-22.459431,-2004.679443,139.116699,-56.105450,-1785.689819,1081.973999
31,99.172234,-1704.166870,435.435883,80.832283,-1871.823608,258.604858,11.020239,-1985.895386,176.497253,-24.157749,-1998.145630,146.582230,-59.063419,-1781.858765,1081.553345
32,98.842186,-1691.678467,434.466705,79.656418,-1862.640747,261.856812,9.010498,-1977.949341,183.529480,-26.121944,-1991.104248,153.930283,-61.954666,-1778.135742,1081.047485
33,98.507492,-1679.391479,433.835602,78.287254,-1853.291870,265.127533,6.717435,-1969.554321,190.339630,-28.282879,-1983.603271,160.983368,-64.800270,-1774.508179,1080.471191
34,98.153992,-1667.371094,433.603210,76.737740,-1843.826294,268.393585,4.252246,-1960.803955,196.726013,-30.547346,-1975.696777,167.543259,-67.614761,-1770.961060,1079.841919
